legajo,nombre,apellido,dni,año de nacimiento,edad,regimen,categoria,region,email,observaciones,par-categoría,Mayúscula,Plus por cat
1001,Leila,Hensley,12693508,1989,=2024-E2,Funcionarios,2,AN,Phasellus.fermentum.convallis@diam.co.uk,"pede sagittis augue, eu tempor erat neque non quam. Pellentesque",=ISEVEN(H2),=UPPER(C2),"=IF(H2>=3, ""Si corresponde"", "" "")"
1002,Zachary,Romero,17500079,1994,=2024-E3,Funcionarios,1,AN,tellus.faucibus.leo@In.net,Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc,=ISEVEN(H3),=UPPER(C3),"=IF(H3>=3, ""Si corresponde"", "" "")"
1003,Adara,Francis,12070761,1982,=2024-E4,Funcionarios,2,GA,ut.ipsum@Cumsociis.ca,"sem mollis dui, in sodales elit erat vitae risus. Duis",=ISEVEN(H4),=UPPER(C4),"=IF(H4>=3, ""Si corresponde"", "" "")"
1004,Kenyon,Carey,19893186,1997,=2024-E5,Personal,1,MA,neque.sed@tellusnon.com,"leo elementum sem, vitae aliquam eros turpis non enim. Mauris",=ISEVEN(H5),=UPPER(C5),"=IF(H5>=3, ""Si corresponde"", "" "")"
1005,Karleigh,Short,11277324,1994,=2024-E6,Funcionarios,3,CA,eu.eros@velit.net,Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet,=ISEVEN(H6),=UPPER(C6),"=IF(H6>=3, ""Si corresponde"", "" "")"
1006,Kelly,Rose,18407489,1994,=2024-E7,Personal,1,AN,nibh@nonlorem.org,Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio.,=ISEVEN(H7),=UPPER(C7),"=IF(H7>=3, ""Si corresponde"", "" "")"
1007,Ulric,Marks,19653471,1989,=2024-E8,Personal,3,CV,Cras.lorem@nonegestasa.edu,"varius orci, in consequat enim diam vel arcu. Curabitur ut",=ISEVEN(H8),=UPPER(C8),"=IF(H8>=3, ""Si corresponde"", "" "")"
1008,Erin,Stokes,16817005,1992,=2024-E9,Personal,3,CM,arcu.Aliquam.ultrices@blanditatnisi.edu,leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor,=ISEVEN(H9),=UPPER(C9),"=IF(H9>=3, ""Si corresponde"", "" "")"
1009,Reuben,Holman,14061572,1998,=2024-E10,Personal,3,AN,vel.arcu.eu@lectusNullamsuscipit.com,dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit.,=ISEVEN(H10),=UPPER(C10),"=IF(H10>=3, ""Si corresponde"", "" "")"
1010,Margaret,Vinson,17564664,1987,=2024-E11,Personal,3,CV,tellus.Nunc@feugiatLoremipsum.com,massa. Suspendisse eleifend. Cras sed leo. Cras vehicula aliquet libero.,=ISEVEN(H11),=UPPER(C11),"=IF(H11>=3, ""Si corresponde"", "" "")"
